------------------------------,--------------------
www.electricblue.eu,Portugal
------------------------------,--------------------
EnvLogger version,T2.4
EnvLogger Viewer version,5.3
downloading device type,android
device,SM-J737T1
device name,Galaxy J7 Star
downloading mode,auto
------------------------------,--------------------
serial number,0436 9A00 530C 03
custom name,6-N-B4
temperature,degrees Celsius
time zone,UTC+0000
sampling resolution,0.1
samples,448
time diff [logger-smartphone](sec),94
lat,-0.765953
long,-90.340662
accuracy (m),7.5
------------------------------,--------------------
time,temp
14/01/2024 18:00,41.1
14/01/2024 19:30,43.2
14/01/2024 21:00,27.9
14/01/2024 22:30,27.9
15/01/2024 00:00,27.5
15/01/2024 01:30,26.9
15/01/2024 03:00,26.3
15/01/2024 04:30,25
15/01/2024 06:00,25.1
15/01/2024 07:30,25
15/01/2024 09:00,26.6
15/01/2024 10:30,26.4
15/01/2024 12:00,26.4
15/01/2024 13:30,26.3
15/01/2024 15:00,26.5
15/01/2024 16:30,28.2
15/01/2024 18:00,38.8
15/01/2024 19:30,44.6
15/01/2024 21:00,27.8
15/01/2024 22:30,27.5
16/01/2024 00:00,27.6
16/01/2024 01:30,27.3
16/01/2024 03:00,26.7
16/01/2024 04:30,25.4
16/01/2024 06:00,24.8
16/01/2024 07:30,24.6
16/01/2024 09:00,26.2
16/01/2024 10:30,26.3
16/01/2024 12:00,26.3
16/01/2024 13:30,26.4
16/01/2024 15:00,26.5
16/01/2024 16:30,30.7
16/01/2024 18:00,40.3
16/01/2024 19:30,42.9
16/01/2024 21:00,35.3
16/01/2024 22:30,28
17/01/2024 00:00,27.7
17/01/2024 01:30,27.5
17/01/2024 03:00,26.2
17/01/2024 04:30,26.5
17/01/2024 06:00,25.1
17/01/2024 07:30,25
17/01/2024 09:00,25
17/01/2024 10:30,26.1
17/01/2024 12:00,26.1
17/01/2024 13:30,26.1
17/01/2024 15:00,26.1
17/01/2024 16:30,26.8
17/01/2024 18:00,34
17/01/2024 19:30,39.5
17/01/2024 21:00,37.8
17/01/2024 22:30,26.9
18/01/2024 00:00,26.5
18/01/2024 01:30,26.2
18/01/2024 03:00,26.3
18/01/2024 04:30,26.3
18/01/2024 06:00,26.1
18/01/2024 07:30,25.6
18/01/2024 09:00,25.4
18/01/2024 10:30,26
18/01/2024 12:00,26
18/01/2024 13:30,25.9
18/01/2024 15:00,26
18/01/2024 16:30,26.4
18/01/2024 18:00,27.9
18/01/2024 19:30,31
18/01/2024 21:00,37.8
18/01/2024 22:30,27.3
19/01/2024 00:00,26.8
19/01/2024 01:30,26.7
19/01/2024 03:00,26.6
19/01/2024 04:30,26.5
19/01/2024 06:00,26.4
19/01/2024 07:30,25.5
19/01/2024 09:00,25.2
19/01/2024 10:30,25.2
