------------------------------,--------------------
www.electricblue.eu,Portugal
------------------------------,--------------------
EnvLogger version,T2.4
EnvLogger Viewer version,5.3
downloading device type,android
device,SM-J737T1
device name,Galaxy J7 Star
downloading mode,auto
------------------------------,--------------------
serial number,04BB 2800 2F5A 04
custom name,6-P-B4
temperature,degrees Celsius
time zone,UTC+0000
sampling resolution,0.1
samples,514
time diff [logger-smartphone](sec),50
lat,-0.743366
long,-90.303913
accuracy (m),7.5
------------------------------,--------------------
time,temp
12/01/2024 16:30,35
12/01/2024 18:00,33
12/01/2024 19:30,28.2
12/01/2024 21:00,28.1
12/01/2024 22:30,27.5
13/01/2024 00:00,27.1
13/01/2024 01:30,26.7
13/01/2024 03:00,24.9
13/01/2024 04:30,24.7
13/01/2024 06:00,25.6
13/01/2024 07:30,26.2
13/01/2024 09:00,26.2
13/01/2024 10:30,26.2
13/01/2024 12:00,26
13/01/2024 13:30,25.7
13/01/2024 15:00,27.9
13/01/2024 16:30,38
13/01/2024 18:00,45.1
13/01/2024 19:30,28.8
13/01/2024 21:00,28.5
13/01/2024 22:30,27.8
14/01/2024 00:00,27.2
14/01/2024 01:30,27.2
14/01/2024 03:00,25.2
14/01/2024 04:30,24.5
14/01/2024 06:00,24.4
14/01/2024 07:30,26.6
14/01/2024 09:00,26.5
14/01/2024 10:30,26.3
14/01/2024 12:00,26.2
14/01/2024 13:30,26.3
14/01/2024 15:00,27.6
14/01/2024 16:30,37.7
14/01/2024 18:00,43.1
14/01/2024 19:30,30.3
14/01/2024 21:00,28.1
14/01/2024 22:30,27.8
15/01/2024 00:00,27.3
15/01/2024 01:30,27
15/01/2024 03:00,27.1
15/01/2024 04:30,25.1
15/01/2024 06:00,24.7
15/01/2024 07:30,25.4
15/01/2024 09:00,26.6
15/01/2024 10:30,26.5
15/01/2024 12:00,26.4
15/01/2024 13:30,26.4
15/01/2024 15:00,26.7
15/01/2024 16:30,28.8
15/01/2024 18:00,40
15/01/2024 19:30,44.4
15/01/2024 21:00,28.3
15/01/2024 22:30,27.9
16/01/2024 00:00,27.6
16/01/2024 01:30,27.2
16/01/2024 03:00,26.9
16/01/2024 04:30,25.5
16/01/2024 06:00,24.5
16/01/2024 07:30,24.4
16/01/2024 09:00,26.4
16/01/2024 10:30,26.6
16/01/2024 12:00,26.5
16/01/2024 13:30,26.5
16/01/2024 15:00,26.8
16/01/2024 16:30,29.7
16/01/2024 18:00,41.2
16/01/2024 19:30,43.6
16/01/2024 21:00,29.9
16/01/2024 22:30,28.4
17/01/2024 00:00,27.6
17/01/2024 01:30,27.2
17/01/2024 03:00,26.9
17/01/2024 04:30,26.7
17/01/2024 06:00,25.4
17/01/2024 07:30,25
